2020-01-17 10:57:16,915:'a'
2020-01-17 10:57:16,934:'s'
2020-01-17 10:57:18,293:Key.backspace
2020-01-17 10:57:18,468:Key.backspace
2020-01-17 10:57:18,730:'a'
2020-01-17 10:57:18,830:'s'
2020-01-17 10:57:19,088:'f'
2020-01-17 10:57:19,129:'d'
2020-01-17 10:57:19,328:'s'
2020-01-17 10:57:19,378:'a'
2020-01-17 10:57:19,678:Key.backspace
2020-01-17 10:57:19,873:Key.backspace
2020-01-17 10:57:20,041:Key.backspace
2020-01-17 10:57:20,192:Key.backspace
2020-01-17 10:57:20,328:Key.backspace
2020-01-17 10:57:20,683:Key.backspace
2020-01-17 10:57:21,266:Key.alt_l
2020-01-17 10:57:21,352:Key.tab
